FIPS,City
BF24,Acklins And Crooked Islands
BF25,Freeport
BF26,Fresh Creek
BF27,Governor'S Harbour
BF28,Green Turtle Cay
BF29,High Rock
BF30,Kemps Bay
BF31,Marsh Harbour
BF32,Nichollstown And Berry Islands
BF33,Rock Sound
BF34,Sandy Point
BF35,San Salvador And Rum Cay
BG00,Bangladesh
BG01,Barisal
BG02,Bogra
BG03,Chittagong
BG04,Bandarban
BG05,Comilla
BG06,Dacca
BG07,Dinajpur
BG08,Faridpur
BG09,Jessore
BG10,Khulna
BG11,Kushtia
BG12,Mymensingh
BG13,Noakhali
BG14,Pabna
BG15,Patuakhali
BG16,Rajshaihi
BG17,Rangpur
BG18,Sylhet
BG19,Tangail
BG20,Ramgarh
BG21,Rangamati
BG22,Bagerhat
BG23,Bhola
BG24,Bogra
BG25,Barguna
BG26,Brahmanbaria
BG27,Chandpur
BG28,Chapai Nawabganj
BG29,Chattagram
BG30,Chuadanga
BG31,Cox'S Bazar
BG32,Dhaka
BG33,Dinajpur
BG34,Faridpur
BG35,Feni
BG36,Gaibandha
BG37,Gazipur
BG38,Gopalganj
BG39,Habiganj
BG40,Jaipurhat
BG41,Jamalpur
BG42,Jessore
BG43,Jhalakati
BG44,Jhenaidah
BG45,Khagrachari
BG46,Khulna
BG47,Kishorganj
BG48,Kurigram
BG49,Kushtia
BG50,Laksmipur
BG51,Lalmonirhat
BG52,Madaripur
BG53,Magura
BG54,Manikganj
BG55,Meherpur
BG56,Moulavibazar
BG57,Munshiganj
BG58,Naogaon
BG59,Narail
BG60,Narayanganj
BG61,Narsingdi
BG62,Nator
BG63,Netrakona
BG64,Nilphamari
BG65,Pabna
BG66,Panchagar
BG67,Parbattya Chattagram
BG68,Pirojpur
BG69,Rajbari
BG70,Rajshahi
BG71,Rangpur
BG72,Satkhira
BG73,Shariyatpur
BG74,Sherpur
BG75,Sirajganj
BG76,Sunamganj
BG77,Sylhet
BG78,Tangail
BG79,Thakurgaon
BG80,Chittagong
BG81,Dhaka
BG82,Khulna
BG83,Rājshāhi
BG84,Chittagong
BG85,Barisāl
BG86,Sylhet
BH00,Belize
BH01,Belize
BH02,Cayo
BH03,Corozal
BH04,Orange Walk
BH05,Stann Creek
BH06,Toledo
BK00,Bosnia And Herzegovina
BK01,Federation Of Bosnia And Herzegovina [Conventional]; Federacija Bosne I Hercegovine [Serbocroatian]
BK02,Republica Srpska
BL00,Bolivia
BL01,Chuquisaca
BL02,Cochabamba
BL03,El Beni
BL04,La Paz
BL05,Oruro
BL06,Pando
BL07,Potosi
BL08,Santa Cruz
BL09,Tarija
BM00,Burma
BM01,Rakhine State
BM02,Chin State
BM03,Ayeyarwady
BM04,Kachin State
BM05,Kayin State
BM06,Kayah State
BM07,Magwe
BM08,Mandalay
BM09,Pegu
BM10,Sagaing
BM11,Shan State
BM12,Tanintharyi
BM13,Mon State
BM14,Rangoon
BM15,Magway
BM16,Bago
BM17,Yangon
BN00,Benin
BN01,Atakora
BN02,Atlantique
BN03,Borgou
BN04,Mono
BN05,Oueme
BN06,Zou
BN07,Alibori
BN08,Atakora
BN09,Atlantique
BN10,Borgou
BN11,Collines
BN12,Kouffo
BN13,Donga
BN14,Littoral
BN15,Mono
BN16,Ouémé
BN17,Plateau
BN18,Zou
BO00,Belarus
BO01,Brestskaya Voblasts'
BO02,Homyel'Skaya Voblasts'
BO03,Hrodzyenskaya Voblasts'
BO04,Minsk
BO05,Minskaya Voblasts'
BO06,Mahilyowskaya Voblasts'
BO07,Vitsyebskaya Voblasts'
BP00,Solomon Islands
BP01,Central
BP02,Eastern
BP03,Malaita
BP04,Western
BP05,Central
BP06,Guadalcanal
BP07,Isabel
BP08,Makira
BP09,Temotu
BP10,Central
BP11,Western
BP12,Choiseul
BP13,Rennell And Bellona
BQ00,Navassa Island
BR00,Brazil
BR01,Acre
BR02,Alagoas
BR03,Amapa
BR04,Amazonas
BR05,Bahia
BR06,Ceara
BR07,Distrito Federal
BR08,Espirito Santo
BR09,Fernando De Noronha
BR10,Goias
BR11,Mato Grosso Do Sul
BR13,Maranhao
BR14,Mato Grosso
BR15,Minas Gerais
BR16,Para
BR17,Paraiba
BR18,Parana
BR19,Pernambuco
BR20,Piaui
BR21,Rio De Janeiro
BR22,Rio Grande Do Norte
BR23,Rio Grande Do Sul
BR24,Rondonia
BR25,Roraima
BR26,Santa Catarina
BR27,Sao Paulo
BR28,Sergipe
BR29,Goias
BR30,Pernambuco
BR31,Tocantins
BS00,Bassas Da India
BT00,Bhutan
BT01,Central Bhutan
BT02,Eastern Bhutan
BT03,Southern Bhutan
BT04,Western Bhutan
BT05,Bumthang
BT06,Chhukha
BT07,Chirang
BT08,Daga
BT09,Geylegphug
BT10,Ha
BT11,Lhuntshi
BT12,Mongar
BT13,Paro
BT14,Pemagatsel
BT15,Punakha
BT16,Samchi
BT17,Samdrup
BT18,Shemgang
BT19,Tashigang
BT20,Thimphu
BT21,Tongsa
BT22,Wangdi Phodrang
BU00,Bulgaria
BU01,Blagoevgrad
BU02,Burgas
BU03,Gabrovo
BU04,Khaskovo
BU05,Kurdzhali
BU06,Kyustendil
BU07,Lovech
BU08,Mikhaylovgrad
BU09,Pazardzhik
BU10,Pernik
BU11,Pleven
BU12,Plovdiv
BU13,Razgrad
BU14,Ruse
BU15,Shumen
BU16,Silistra
BU17,Sliven
BU18,Smolyan
BU19,Sofiya
BU20,Grad Sofiya
BU21,Stara Zagora
BU22,Tolbukhin
BU23,Tuurgovishte
BU24,Varna
BU25,Veliko Tuirnovo
BU26,Vidin
BU27,Vratsa
BU28,Yambol
BU29,Burgas
BU30,Grad Sofiya
BU31,Khaskovo
BU32,Lovech
BU33,Montana
BU34,Plovdiv
BU35,Ruse
BU36,Sofiya
BU37,Varna
BU38,Blagoevgrad
BU39,Burgas
BU40,Dobrich
BU41,Gabrovo
BU42,Sofiya-Grad
BU43,Khaskovo
BU44,Kŭrdzhali
BU45,Kyustendil
BU46,Lovech
BU47,Montana
BU48,Pazardzhik
BU49,Pernik
BU50,Pleven
BU51,Plovdiv
BU52,Ruse
BU53,Ruse
BU54,Shumen
BU55,Silistra
BU56,Sliven
BU57,Smolyan
BU58,Sofiya
BU59,Stara Zagora
BU60,Tŭrgovishte
BU61,Varna
BU62,Veliko Tŭrnovo
BU63,Vidin
BU64,Vratsa
BU65,Yambol
BV00,Bouvet Island
BX00,Brunei
BX01,Belait
BX02,Brunei And Muara
BX03,Temburong
BX04,Tutong
BY00,Burundi
BY01,Bubanza
BY02,Bujumbura
BY03,Bururi
BY04,Gitega
BY05,Muramvya
BY06,Myuinga
BY07,Ngozi
BY08,Ruyigi
BY09,Bubanza
BY10,Bururi
BY11,Cankuzo
BY12,Cibitoke
BY13,Gitega
BY14,Karuzi
BY15,Kayanza
BY16,Kirundo
BY17,Makamba
BY18,Muyinga
BY19,Ngozi
BY20,Rutana
BY21,Ruyigi
BY22,Muramvya
BY23,Mwaro
BZ00,Germany Berlin
CA00,Canada
CA01,Alberta
CA02,British Columbia
CA03,Manitoba
CA04,New Brunswick
CA05,Newfoundland And Labrador [English]; Terre-Neuve-Et-Labrador [French]
CA06,Northwest Territories
CA07,Nova Scotia
CA08,Ontario
CA09,Prince Edward Island
CA10,Quebec
CA11,Saskatchewan
CA12,Yukon Territory
CA13,Northwest Territories
CA14,Nunavut
CB00,Cambodia
CB01,Batdambang
CB02,Kampong Cham
CB03,Kampong Chhnang
CB04,Kampong Spoe
CB05,Kampong Thum
CB06,Kampot
CB07,Kandal
CB08,Kaoh Kong
CB09,Kracheh
CB10,Mondol Kiri
CB11,Phnum Penh
CB12,Pouthisat
CB13,Preah Vihear
CB14,Prey Veng
CB15,Rotanokiri
CB16,Siemreab-Otdar Meanchey
CB17,Stoeng Treng
CB18,Svay Rieng
CB19,Takev
CB20,Bătdâmbâng
CB21,Kâmpôt
CB22,Phnum Pénh
CB23,Rôtânăh Kiri
CB24,Siĕm Réab
CB25,Bântéay Méan Cheăy
CB26,Kêb
CB27,Ŏtdâr Méan Cheăy
CB28,Preăh Seihânŭ
CB29,Bătdâmbâng
CB30,Pailĭn
CD00,Chad
CD01,Batha
CD02,Wadi Fira
CD03,Borkou-Ennedi-Tibesti
CD04,Chari-Baguirmi
CD05,Guéra
CD06,Kanem
CD07,Lac
CD08,Logone Occidental
CD09,Logone Oriental
CD10,Mayo-Kebbi
CD11,Moyen-Chari
CD12,Ouaddaï
CD13,Salamat
CD14,Tandjilé
CD15,Chari-Baguirmi
CD16,Mayo-Kebbi Est
CD17,Moyen-Chari
CD18,Hadjer-Lamis
CD19,Mandoul
CD20,Mayo-Kébbi Ouest
CD21,Ville De N’Djaména
CE00,Sri Lanka
CE01,Amparai
CE02,Anuradhapura
CE03,Badulla
CE04,Batticaloa
CE05,Colombo
CE06,Galle
CE07,Hambantota
CE08,Jaffna
CE09,Kalutara
CE10,Kandy
CE11,Kegalla
CE12,Kurunegala
CE13,Mannar
CE14,Matale
CE15,Matara
CE16,Moneragala
CE17,Nuwara Eliya
CE18,Polonnaruwa
CE19,Puttalam
CE20,Ratnapura
CE21,Trincomalee
CE22,Vavuniya
CE23,Colombo
CE24,Gampaha
CE25,Jaffna
CE26,Mannar
CE27,Mullaittivu
CE28,Vavuniya
CF00,Congo
CF01,Bouenza
CF03,Cuvette
CF04,Kouilou
CF05,Lekoumou
CF06,Likouala
CF07,Niari
CF08,Plateaux
CF09,Pool
CF10,Sangha
CF11,Pool
CF12,Brazzaville
CF13,Cuvette
CF14,Cuvette-Ouest
CG00,Congo (Democratic Republic Of The)
CG01,Bandundu
CG02,Équateur
CG03,Kasaï-Occidental
CG04,Kasaï-Oriental
CG05,Katanga
CG06,Kinshasa
CG07,Kivu
CG08,Bas-Congo
CG09,Orientale
CG10,Maniema
CG11,Nord-Kivu
CG12,Sud-Kivu
CH00,China
CH01,Anhui
CH02,Zhejiang
CH03,Jiangxi
CH04,Jiangsu
CH05,Jilin
CH06,Qinghai
CH07,Fujian
CH08,Heilongjiang
CH09,Henan
CH10,Hebei
CH11,Hunan
CH12,Hubei
CH13,Xinjiang
CH14,Xizang
CH15,Gansu
CH16,Guangxi
CH17,Guangdon
CH18,Guizhou
CH19,Liaoning
CH20,Nei Mongol
CH21,Ningxia
CH22,Beijing
CH23,Shanghai
CH24,Shanxi
CH25,Shandong
CH26,Shaanxi
CH27,Sichuan
CH28,Tianjin
CH29,Yunnan
CH30,Guangdong
CH31,Hainan
CH32,Sichuan
CH33,Chongqing
CI00,Chile
CI01,Valparaiso
CI02,Aisen Del General Carlos Ibanez Del Campo
CI03,Antofagasta
CI04,Araucania
CI05,Atacama
CI06,Bio-Bio
CI07,Coquimbo
CI08,Libertador General Bernardo O'Higgins
CI09,Los Lagos
CI10,Magallanes Y De La Antártica Chilena
CI11,Maule
CI12,Region Metropolitana
CI13,Tarapaca
CI14,Los Lagos
CI15,Tarapacá
CI16,Arica Y Parinacota
CI17,Los Ríos
CJ00,Cayman Islands
CJ01,Creek
CJ02,Eastern
CJ03,Midland
CJ04,South Town
CJ05,Spot Bay
CJ06,Stake Bay
CJ07,West End
CJ08,Western
CK00,Cocos (Keeling) Islands
CM00,Cameroon
CM03,Centre-Sud
CM04,Est
CM05,Littoral
CM06,Nord
CM07,Nord-Ouest
CM08,Ouest
CM09,Sud-Ouest
CM10,Adamaoua
CM11,Centre
CM12,Extreme-Nord
CM13,Nord
CM14,Sud
CN00,Comoros
CN01,Anjouan
CN02,Grande Comore
CN03,Moheli
CO00,Colombia
CO01,Amazonas
CO02,Antioquia
CO03,Arauca
CO04,Atlantico
CO05,Bolivar
CO06,Boyaca
CO07,Caldas
CO08,Caqueta
CO09,Cauca
CO10,Cesar
CO11,Choco
CO12,Cordoba
CO13,Cundinamarca
CO14,Guaviare
CO15,Guainia
CO16,Huila
CO17,La Guajira
CO18,Magdalena
CO19,Meta
CO20,Narino
CO21,Norte De Santander
CO22,Putumayo
CO23,Quindio
CO24,Risaralda
CO25,San Andres Y Providencia
CO26,Santander
CO27,Sucre
CO28,Tolima
CO29,Valle Del Cauca
CO30,Vaupes
CO31,Vichada
CO32,Casanare
CO33,Cundinamarca
CO34,Distrito Capital
CO35,Bolivar
CO36,Boyaca
CO37,Caldas
CO38,Magdalena
CQ00,Northern Mariana Islands
CR00,Coral Sea Islands
CS00,Costa Rica
CS01,Alajuela
CS02,Cartago
CS03,Guanacaste
CS04,Heredia
CS06,Limon
CS07,Puntarenas
CS08,San Jose
CT00,Central African Republic
CT01,Bamingui-Bangoran
CT02,Basse-Kotto
CT03,Haute-Kotto
CT04,Mambéré-Kadéï
CT05,Haut-Mbomou
CT06,Kémo
CT07,Lobaye
CT08,Mbomou
CT09,Nana-Mambere
CT10,Ombella-Mpoko
CT11,Ouaka
CT12,Ouham
CT13,Ouham-Pende
CT14,Vakaga
CT15,Nana-Grébingui
CT16,Sangha-Mbaéré
CT17,Ombella-Mpoko
CT18,Bangui
CU00,Cuba
CU01,Pinar Del Rio
CU02,Ciudad De La Habana
CU03,Matanzas
CU04,Isla De La Juventud
CU05,Camaguey
CU07,Ciego De Avila
CU08,Cienfuegos
CU09,Granma
CU10,Guantanamo
CU11,La Habana
CU12,Holguin
CU13,Las Tunas
CU14,Sancti Spiritus
CU15,Santiago De Cuba
CU16,Villa Clara
CV00,Cape Verde
CV01,Boa Vista
CV02,Brava
CV03,Fogo
CV04,Maio
CV05,Paul
CV06,Praia
CV07,Ribeira Grande
CV08,Sal
CV09,Santa Catarina
CV10,Sao Nicolau
CV11,Sao Vicente
CV12,Tarrafal
CV13,Mosteiros
CV14,Praia
CV15,Santa Catarina
CV16,Santa Cruz
CV17,São Domingos
CV18,São Filipe
CV19,São Miguel
CV20,Tarrafal
CW00,Cook Islands
CY00,Cyprus
CY01,Famagusta
CY02,Kyrenia
CY03,Larnaca
CY04,Nicosia
CY05,Limassol
CY06,Paphos
CZ00,Czechoslovakia
CZ01,Ceska Socialisticka Republica
CZ02,Slovenska Socialisticka Republica
DA00,Denmark
DA01,Arhus
DA02,Bornholm
DA03,Frederiksborg
DA04,Fyn
DA05,Kobenhavn
DA06,København
DA07,Nordjylland
DA08,Ribe
DA09,Ringkobing
DA10,Roskilde
DA11,Sonderjylland
DA12,Storstrom
DA13,Vejle
DA14,Vestsjalland
DA15,Viborg
DA16,Frederiksberg
DA17,Hovedstaden
DA18,Midtjyllen
DA19,Nordjylland
DA20,Sjælland
DA21,Syddanmark
DJ00,Djibouti
DJ01,Ali Sabieh
DJ02,Dikhil
DJ03,Djibouti
DJ04,Obock
DJ05,Tadjoura
DJ06,Dikhil
DJ07,Djibouti
DJ08,Arta
DO00,Dominica
DO02,Saint Andrew
DO03,Saint David
DO04,Saint George
DO05,Saint John
DO06,Saint Joseph
DO07,Saint Luke
DO08,Saint Mark
DO09,Saint Patrick
DO10,Saint Paul
DO11,Saint Peter
DQ00,Jarvis Island
DR00,Dominican Republic
DR01,Azua
DR02,Bahoruco
DR03,Barahona
DR04,Dajabon
DR05,Distrito Nacional
DR06,Duarte
DR07,El Seibo
DR08,Espaillat
DR09,Independencia
DR10,La Altagracia
DR11,Elias Pina
DR12,La Romana
DR13,La Vega
DR14,Maria Trinidad Sanchez
DR15,Monte Cristi
DR16,Pedernales
DR17,Peravia
DR18,Puerto Plata
DR19,Salcedo
DR20,Samana
DR21,Sanchez Ramirez
DR22,San Cristobal
DR23,San Juan
DR24,San Pedro De Macoris
DR25,Santiago
DR26,Santiago Rodriguez
DR27,Valverde
DR28,El Seibo
DR29,Hato Mayor
DR30,La Vega
DR31,Monsenor Nouel
DR32,Monte Plata
DR33,San Cristobal
DR34,Distrito Nacional
DR35,Peravia
DR36,San José De Ocoa
DR37,Santo Domingo
DX00,Dhekelia Sovereign Base Area
EC00,Ecuador
EC01,Galapagos
EC02,Azuay
EC03,Bolivar
EC04,Canar
EC05,Carchi
EC06,Chimborazo
EC07,Cotopaxi
EC08,El Oro
EC09,Esmeraldas
EC10,Guayas
EC11,Imbabura
EC12,Loja
EC13,Los Rios
EC14,Manabi
EC15,Morona-Santiago
EC16,Napo
EC17,Pastaza
EC18,Pichincha
EC19,Tungurahua
EC20,Zamora-Chinchipe
EC21,Napo
EC22,Sucumbios
EC23,Napo
EC24,Orellana
EG00,Egypt
EG01,Ad Daqahliyah
EG02,Al Bahr Al Ahmar
EG03,Al Buhayrah
EG04,Al Fayyum
EG05,Al Gharbiyah
EG06,Al Iskandariyah
EG07,Al Isma'Iliyah
EG08,Al Jizah
EG09,Al Minufiyah
EG10,Al Minya
EG11,Al Qahirah
EG12,Al Qalyubiyah
EG13,Al Wadi Al Jadid
EG14,Ash Sharqiyah
EG15,As Suways
EG16,Aswan
EG17,Asyut
EG18,Bani Suwayf
EG19,Bur Sa'Id
EG20,Dumyat
EG21,Kafr Ash Shaykh
EG22,Matruh
EG23,Qina
EG24,Suhaj
EG26,Janub Sina'
EG27,Shamal Sina'
EI00,Ireland
EI01,Carlow
EI02,Cavan
EI03,Clare
EI04,Cork
EI06,Donegal
EI07,Dublin
EI10,Galway
EI11,Kerry
EI12,Kildare
EI13,Kilkenny
EI14,Leitrim
EI15,Laois
EI16,Limerick
EI18,Longford
EI19,Louth
EI20,Mayo
EI21,Meath
EI22,Monaghan
EI23,Offaly
EI24,Roscommon
EI25,Sligo
EI26,Tipperary
EI27,Waterford
EI29,Westmeath
EI30,Wexford
EI31,Wicklow
EK00,Equatorial Guinea
EK01,Bioko
EK02,Rio Muni
EK03,Annobon
EK04,Bioko Norte
EK05,Bioko Sur
EK06,Centro Sur
EK07,Kie-Ntem
EK08,Litoral
EK09,Wele-Nzas
EN00,Estonia
EN01,Harjumaa
EN02,Hiiumaa
EN03,Ida-Virumaa
EN04,Jarvamaa
EN05,Jogevamaa
EN06,Kohtla-Jarve
